var2,var3,var4
2.28,1.7,NA
2.28,1.7,NA
3.65,4.1,NA
3.65,4.1,NA
3.65,4.1,NA
3.65,4.1,NA
3.65,4.1,NA
3.65,4.1,NA
3.12,3.4,NA
3.12,3.4,NA
3.12,3.4,NA
3.12,3.4,NA
3.12,3.4,NA
3.12,3.4,NA
1.83,2,NA
1.83,2,NA
1.83,2,NA
1.83,2,NA
1.83,2,NA
1.83,2,NA
1.83,2,NA
1.83,2,NA
1.84,1.9,NA
1.84,1.9,NA
1.84,1.9,NA
1.84,1.9,NA
4.6,3.9,NA
4.6,3.9,NA
4.6,3.9,NA
4.6,3.9,NA
4.6,3.9,NA
4.6,3.9,NA
4.6,3.9,NA
1.82,1.8,NA
1.82,1.8,NA
1.82,1.8,NA
1.82,1.8,NA
1.82,1.8,NA
1.94,0.74,NA
1.94,0.74,NA
1.94,0.74,NA
1.94,0.74,NA
1.94,0.74,NA
1.15,0.84,NA
1.15,0.84,NA
1.15,0.84,NA
1.15,0.84,NA
1.89,1.25,NA
1.89,1.25,NA
1.89,1.25,NA
1.89,1.25,NA
1.32,0.75,NA
1.32,0.75,NA
1.32,0.75,NA
1.32,0.75,NA
2.49,2.31,NA
2.49,2.31,NA
2.49,2.31,NA
2.49,2.31,NA
3.89,2.44,NA
3.89,2.44,NA
3.89,2.44,NA
3.89,2.44,NA
3.89,2.44,NA
1.49,0.69,NA
1.49,0.69,NA
1.49,0.69,NA
1.49,0.69,NA
0.9,0.5,NA
0.9,0.5,NA
0.9,0.5,NA
0.9,0.5,NA
0.95,0.35,NA
0.95,0.35,NA
0.95,0.35,NA
0.95,0.35,NA
0.95,0.35,NA
2.49,1.4,NA
2.49,1.4,NA
2.49,1.4,NA
2.49,1.4,NA
0.65,0.41,NA
0.65,0.41,NA
0.65,0.41,NA
0.65,0.41,NA
1.25,0.73,NA
1.25,0.73,NA
1.25,0.73,NA
1.25,0.73,NA
1.09,0.54,NA
1.09,0.54,NA
1.09,0.54,NA
1.09,0.54,NA
1.17,0.59,NA
1.17,0.59,NA
1.17,0.6,NA
1.17,0.6,NA
1.17,0.6,NA
1.07,0.48,NA
1.07,0.48,NA
1.07,0.48,NA
1.07,0.48,NA
0.96,0.5,NA
0.96,0.5,NA
0.96,0.5,NA
0.96,0.5,NA
0.86,0.76,NA
0.86,0.76,NA
0.86,0.76,NA
0.86,0.76,NA
0.86,0.76,NA
1.01,0.49,NA
1.01,0.49,NA
1.01,0.49,NA
1.01,0.49,NA
1.22,0.64,NA
1.22,0.64,NA
1.22,0.64,NA
1.22,0.64,NA
1.2,0.8,NA
1.2,0.8,NA
1.2,0.8,NA
1.2,0.8,NA
0.78,0.39,NA
0.78,0.39,NA
0.78,0.39,NA
0.78,0.39,NA
0.78,0.39,NA
0.78,0.39,NA
0.78,0.39,NA
1.32,1.29,NA
1.32,1.29,NA
1.32,1.29,NA
1.32,1.29,NA
1.32,1.29,NA
1.32,1.29,NA
1.32,1.29,NA
1.32,1.29,NA
1.32,1.29,NA
1.32,1.29,NA
1.82,1.09,NA
1.82,1.09,NA
1.82,2.9,NA
1.82,2.9,NA
1.82,3.05,NA
1.82,3.05,NA
1.93,0.82,NA
1.93,0.82,NA
1.93,0.82,NA
1.93,0.82,NA
1.97,2.16,NA
1.97,2.16,NA
1.97,2.16,NA
1.97,2.16,NA
1.97,2.16,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
0.88,1.58,NA
2.67,1.62,NA
2.67,1.62,NA
2.67,1.62,NA
2.67,1.62,NA
2.67,1.62,NA
1.17,2.57,NA
1.17,2.57,NA
1.17,2.57,NA
1.17,2.57,NA
1.17,2.57,NA
1.17,2.57,NA
1.44,0.85,NA
1.44,0.85,NA
1.44,0.85,NA
1.44,0.85,NA
1.44,0.85,NA
0.48,3.18,NA
0.48,3.18,NA
0.48,3.18,NA
0.48,3.18,NA
3.41,0.84,NA
3.41,0.84,NA
3.41,0.84,NA
3.41,0.84,NA
3.41,0.84,NA
3.41,0.84,NA
3.41,0.84,NA
1,0.44,NA
1,0.44,NA
1,0.44,NA
1,0.44,NA
0.83,0.36,NA
0.83,0.36,NA
0.83,0.36,NA
